scientific_name,author,year,bibliography,image_url,family,genus,plant_wiki,plant_id
Vachellia macracantha,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,2006.0,Phytologia 87: 160 (2005 publ. 2006),https://bs.floristic.org/image/o/9b5e96f3304601ce68976348307bda13ac228ffc,Fabaceae,Vachellia,https://en.wikipedia.org/wiki/Vachellia_macracantha,570
Aegilops speltoides,Tausch,1837.0,Flora 20: 108 (1837),https://d2seqvvyy3b8p2.cloudfront.net/81a3c4cf499a21c09276cb4da13b93ed.jpg,Poaceae,Aegilops,https://en.wikipedia.org/wiki/Aegilops_speltoides,571
Scrophularia auriculata,L.,1753.0,Sp. Pl.: 620 (1753),https://bs.plantnet.org/image/o/8be203a1d7374b180fb4a6590eda721e00ffaccb,Scrophulariaceae,Scrophularia,https://en.wikipedia.org/wiki/Scrophularia_auriculata,572
Ageratina riparia,(Regel) R.M.King & H.Rob.,1970.0,Phytologia 19: 216 (1970),https://bs.plantnet.org/image/o/0ff4c36267ff4c37eda68cb40ede20e69dd21b30,Asteraceae,Ageratina,https://en.wikipedia.org/wiki/Ageratina_riparia,573
Croton linearis,Jacq.,1760.0,Enum. Syst. Pl.: 32 (1760),https://d2seqvvyy3b8p2.cloudfront.net/ac8d6c0ba68272a8a48120b778b105d3.jpg,Euphorbiaceae,Croton,https://en.wikipedia.org/wiki/Anaea_troglodyta,574
Piper umbellatum,L.,1753.0,Sp. pl. 1:30.  1753,https://bs.plantnet.org/image/o/76bc15227a50a8deecd79850964a64d612c63c1f,Piperaceae,Piper,https://en.wikipedia.org/wiki/Piper_umbellatum,575
Medicago littoralis,Rohde ex Loisel.,1810.0,Not. Fl. France: 119 (1810),https://d2seqvvyy3b8p2.cloudfront.net/baf814c48267bfcf20b8843a71e897bd.jpg,Fabaceae,Medicago,https://en.wikipedia.org/wiki/Medicago_littoralis,576
Syzygium nervosum,A.Cunn. ex DC.,1828.0,Prodr. 3: 260 (1828),https://d2seqvvyy3b8p2.cloudfront.net/bf87b1fd203caa396b786108d14b2b41.jpg,Myrtaceae,Syzygium,https://en.wikipedia.org/wiki/Syzygium_nervosum,577
Muscari neglectum,Guss. ex Ten.,1841.0,"Ann. Civili Regno Due Sicilie 26: 48, 49 (1841)",https://bs.plantnet.org/image/o/29e996c454473384f63473b7cf59470efd483f6f,Asparagaceae,Muscari,https://en.wikipedia.org/wiki/Muscari_neglectum,578
Psydrax dicoccos,Gaertn.,1788.0,Fruct. Sem. Pl. 1: 125 (1788),https://d2seqvvyy3b8p2.cloudfront.net/7c67de4e6848c015d04e2cc9dc420794.jpg,Rubiaceae,Psydrax,https://en.wikipedia.org/wiki/Psydrax_dicoccos,579
