plant_id,full_name,botanist_wiki,botanist_last_name
85,Chelson,,chelson
85,Jim A. Bartel,http://en.wikipedia.org/w/index.php?title=Jim_A._Bartel&action=edit&redlink=1,bartel
85,Macarthur,,macarthur
85,Fleming,,fleming
85,Duff,,duff
85,Nikolaus Joseph von Jacquin,http://en.wikipedia.org/wiki/Nikolaus_Joseph_von_Jacquin,jacquin
85,Joseph Franz von Jacquin,http://en.wikipedia.org/wiki/Joseph_Franz_von_Jacquin,jacquin
85,George Thomson,http://en.wikipedia.org/wiki/George_Thomson_(botanist),thomson
85,Charles Wyville Thomson,http://en.wikipedia.org/wiki/Charles_Wyville_Thomson,thomson
85,George Henderson,http://en.wikipedia.org/w/index.php?title=George_Henderson_(botanist)&action=edit&redlink=1,henderson
85,Edward George Henderson,http://en.wikipedia.org/w/index.php?title=Edward_George_Henderson&action=edit&redlink=1,henderson
85,Murray Ross Henderson,http://en.wikipedia.org/wiki/M._R._Henderson,henderson
85,Norlan C. Henderson,http://en.wikipedia.org/w/index.php?title=Norlan_C._Henderson&action=edit&redlink=1,henderson
85,Andrew Augustus Henderson,http://en.wikipedia.org/w/index.php?title=Andrew_Augustus_Henderson&action=edit&redlink=1,henderson
85,Archibald Henderson,http://en.wikipedia.org/w/index.php?title=Archibald_Henderson_(botanist)&action=edit&redlink=1,henderson
85,Andrew Henderson,http://en.wikipedia.org/wiki/Andrew_Henderson_(botanist),henderson
85,Laing,,laing
85,Young,,young
85,Benjamin Samuel Williams,http://en.wikipedia.org/wiki/Benjamin_Samuel_Williams,williams
85,Ion James Muirhead Williams,http://en.wikipedia.org/w/index.php?title=Ion_James_Muirhead_Williams&action=edit&redlink=1,williams
85,Mark L. Williams,http://en.wikipedia.org/w/index.php?title=Mark_L._Williams_(botanist)&action=edit&redlink=1,williams
85,Samuel Williams,http://en.wikipedia.org/w/index.php?title=Samuel_Williams_(botanist)&action=edit&redlink=1,williams
